1998 239
1999 1266
2000 596
2001 614
2002 973
2003 384
2004 213
2005 142
2006 224
2007 340
2008 60
2009 74
2010 79
2011 71
2012 42
2013 56
2014 81
2015 2
2016 41
2017 6
